"x","y","location"
281528.772100624,6830618.86119397,"inside region"
426764.260640254,7539996.51277954,"inside region"
957792.152568302,7761563.54250244,"inside region"
89329.2441873803,6647501.32202717,"inside region"
222323.375173298,6960867.48767668,"inside region"
488900.754867921,7120792.45245448,"extension buffer"
-61954.8766952608,6686732.95533946,"inside region"
327491.862406108,7455298.91020991,"extension buffer"
770514.568871354,7781800.99016307,"inside region"
972336.297791339,7660017.11738515,"extension buffer"
148531.030626311,6937057.49508936,"inside region"
-331.76599526772,6977997.14108033,"extension buffer"
275199.617296477,7012618.1221699,"inside region"
566290.698388781,7605911.83708963,"inside region"
586581.345660221,7441372.31842148,"extension buffer"
606497.300335169,7795468.73379431,"extension buffer"
-91945.4954366372,6527079.26902763,"extension buffer"
405251.167788786,6651725.99741652,"extension buffer"
357876.358502895,6588200.01061188,"extension buffer"
245377.553283491,6488469.37098693,"extension buffer"
255382.587088365,6678531.89065476,"inside region"
832325.295919663,7599908.1179578,"extension buffer"
10727.3997033976,6610213.29903644,"inside region"
1103010.7761569,7725283.89924907,"extension buffer"
1023877.48330548,7897621.56863557,"inside region"
281967.607797073,7335538.47373667,"extension buffer"
321625.897203811,6739962.46164072,"inside region"
-22099.2301543835,6820735.21577258,"inside region"
354631.279236545,7524015.74863379,"extension buffer"
412044.560207381,6967556.05774389,"extension buffer"
141845.724329706,6584829.80666209,"inside region"
39193.3058476028,6507812.19487268,"inside region"
109709.872064965,6510897.89101111,"inside region"
154554.7838685,6455347.81059942,"extension buffer"
1066965.43743897,7952146.09951326,"extension buffer"
839047.318462632,7846962.28634449,"inside region"
878409.83873961,7718158.3637998,"inside region"
-126295.729200697,6665094.32971611,"extension buffer"
783939.888353419,7927295.40364115,"extension buffer"
641895.643719489,7482375.13619957,"extension buffer"
428205.386207001,6804403.23114834,"extension buffer"
49708.5875260404,7031609.41045943,"extension buffer"
263248.272705501,7103231.25185753,"inside region"
577941.331121272,7673265.97154933,"inside region"
232503.135216059,7205299.2807771,"extension buffer"
346332.167158618,7139847.4725454,"inside region"
1153280.39360246,7857213.61428844,"extension buffer"
187561.519156992,6711273.34008232,"inside region"
205298.036999907,6815298.07663595,"inside region"
901493.513433498,7965959.71951688,"extension buffer"
381259.321511846,7584465.31106566,"extension buffer"
694882.838828089,7606761.04735375,"inside region"
739842.532636315,7555953.3969681,"extension buffer"
1860.38729190239,6749859.21578935,"inside region"
1069009.85869121,7830520.41150067,"inside region"
379814.049545024,7041619.55237659,"extension buffer"
484268.859572943,7338851.11822893,"inside region"
127552.782352772,6876587.43904324,"inside region"
619550.325122267,7574577.17859516,"inside region"
567225.672696571,7343732.66183725,"extension buffer"
-62091.4933840527,6472151.7590873,"extension buffer"
131828.605471358,6994890.72257181,"inside region"
235322.911123403,6550172.28632283,"extension buffer"
62002.514482722,6745406.8326481,"inside region"
389195.28567554,7341039.04370797,"inside region"
712715.63023272,7884046.51823393,"extension buffer"
334377.779314534,6857629.11322724,"inside region"
289787.058213831,7407095.99965809,"extension buffer"
